"Ano";"Localidade";"Produção Agrícola - Soja (em grão) - Rendimento Médio (kg/ha)"
"2000";"Francisco Beltrão";"2.520"
"2001";"Francisco Beltrão";"2.900"
"2002";"Francisco Beltrão";"2.483"
"2003";"Francisco Beltrão";"2.808"
"2004";"Francisco Beltrão";"2.659"
"2005";"Francisco Beltrão";"1.450"
"2006";"Francisco Beltrão";"1.624"
"2007";"Francisco Beltrão";"2.794"
"2008";"Francisco Beltrão";"2.596"
"2009";"Francisco Beltrão";"2.237"
"2010";"Francisco Beltrão";"3.114"
"2011";"Francisco Beltrão";"3.573"
"2012";"Francisco Beltrão";"2.106"
"2013";"Francisco Beltrão";"2.924"
"2014";"Francisco Beltrão";"2.529"
"2015";"Francisco Beltrão";"3.255"
"2016";"Francisco Beltrão";"3.167"
"2017";"Francisco Beltrão";"3.500"
"2018";"Francisco Beltrão";"3.800"
"2019";"Francisco Beltrão";"3.300"
