"Ano";"Localidade";"Produção Agrícola - Soja (em grão) - Rendimento Médio (kg/ha)"
"2000";"Marilândia do Sul";"3.000"
"2001";"Marilândia do Sul";"3.000"
"2002";"Marilândia do Sul";"3.000"
"2003";"Marilândia do Sul";"3.120"
"2004";"Marilândia do Sul";"3.360"
"2005";"Marilândia do Sul";"2.780"
"2006";"Marilândia do Sul";"2.800"
"2007";"Marilândia do Sul";"3.106"
"2008";"Marilândia do Sul";"3.300"
"2009";"Marilândia do Sul";"2.800"
"2010";"Marilândia do Sul";"2.900"
"2011";"Marilândia do Sul";"3.500"
"2012";"Marilândia do Sul";"2.675"
"2013";"Marilândia do Sul";"3.400"
"2014";"Marilândia do Sul";"3.000"
"2015";"Marilândia do Sul";"3.650"
"2016";"Marilândia do Sul";"2.230"
"2017";"Marilândia do Sul";"3.700"
"2018";"Marilândia do Sul";"3.700"
"2019";"Marilândia do Sul";"3.500"
