"Ano";"Localidade";"Produção Agrícola - Soja (em grão) - Rendimento Médio (kg/ha)"
"2000";"Missal";"2.231"
"2001";"Missal";"3.475"
"2002";"Missal";"3.700"
"2003";"Missal";"3.350"
"2004";"Missal";"1.985"
"2005";"Missal";"2.720"
"2006";"Missal";"1.689"
"2007";"Missal";"3.100"
"2008";"Missal";"3.471"
"2009";"Missal";"944"
"2010";"Missal";"3.424"
"2011";"Missal";"3.342"
"2012";"Missal";"1.500"
"2013";"Missal";"3.599"
"2014";"Missal";"2.781"
"2015";"Missal";"2.227"
"2016";"Missal";"3.347"
"2017";"Missal";"3.000"
"2018";"Missal";"3.600"
"2019";"Missal";"1.491"
