"Ano";"Localidade";"Produção Agrícola - Soja (em grão) - Rendimento Médio (kg/ha)"
"2000";"Santa Mônica";"2.200"
"2001";"Santa Mônica";"2.800"
"2002";"Santa Mônica";"2.800"
"2003";"Santa Mônica";"2.750"
"2004";"Santa Mônica";"1.900"
"2005";"Santa Mônica";"2.000"
"2006";"Santa Mônica";"1.900"
"2007";"Santa Mônica";"2.750"
"2008";"Santa Mônica";"2.600"
"2009";"Santa Mônica";"2.000"
"2010";"Santa Mônica";"3.200"
"2011";"Santa Mônica";"3.000"
"2012";"Santa Mônica";"2.250"
"2013";"Santa Mônica";"2.500"
"2014";"Santa Mônica";"2.000"
"2015";"Santa Mônica";"2.800"
"2016";"Santa Mônica";"3.000"
"2017";"Santa Mônica";"3.000"
"2018";"Santa Mônica";"3.700"
"2019";"Santa Mônica";"2.200"
