"Ano";"Localidade";"Produção Agrícola - Soja (em grão) - Rendimento Médio (kg/ha)"
"2000";"Toledo";"2.850"
"2001";"Toledo";"3.462"
"2002";"Toledo";"3.228"
"2003";"Toledo";"3.467"
"2004";"Toledo";"2.398"
"2005";"Toledo";"2.720"
"2006";"Toledo";"2.221"
"2007";"Toledo";"3.117"
"2008";"Toledo";"3.164"
"2009";"Toledo";"2.264"
"2010";"Toledo";"3.405"
"2011";"Toledo";"3.350"
"2012";"Toledo";"1.361"
"2013";"Toledo";"3.583"
"2014";"Toledo";"3.475"
"2015";"Toledo";"3.549"
"2016";"Toledo";"3.308"
"2017";"Toledo";"4.100"
"2018";"Toledo";"3.350"
"2019";"Toledo";"2.090"
