"Ano";"Localidade";"Produção Agrícola - Soja (em grão) - Rendimento Médio (kg/ha)"
"2000";"Umuarama";"1.700"
"2001";"Umuarama";"2.300"
"2002";"Umuarama";"2.500"
"2003";"Umuarama";"2.300"
"2004";"Umuarama";"1.300"
"2005";"Umuarama";"1.800"
"2006";"Umuarama";"1.860"
"2007";"Umuarama";"2.500"
"2008";"Umuarama";"2.100"
"2009";"Umuarama";"2.000"
"2010";"Umuarama";"2.118"
"2011";"Umuarama";"2.654"
"2012";"Umuarama";"1.520"
"2013";"Umuarama";"2.500"
"2014";"Umuarama";"2.300"
"2015";"Umuarama";"2.350"
"2016";"Umuarama";"2.800"
"2017";"Umuarama";"2.830"
"2018";"Umuarama";"3.100"
"2019";"Umuarama";"1.600"
